product_id,product_code,product_name,product_kind,unit_price,currency_code,created_at
1,STK001,トヨタ自動車,10,45486.1,JPY,2022-10-08 00:00:00
2,STK002,ソニーグループ,10,19846.95,JPY,2022-01-12 00:00:00
3,STK003,任天堂,10,12568.91,JPY,2023-05-19 00:00:00
4,STK004,三菱UFJフィナンシャル,10,8450.05,JPY,2019-02-14 00:00:00
5,STK005,日立製作所,10,28884.92,JPY,2021-07-14 00:00:00
6,STK006,パナソニック,10,40519.98,JPY,2022-08-10 00:00:00
7,STK007,本田技研工業,10,1005.06,JPY,2020-06-21 00:00:00
8,STK008,NTT,10,48182.74,JPY,2021-09-29 00:00:00
9,STK009,ソフトバンクグループ,10,35358.04,JPY,2023-07-29 00:00:00
10,STK010,武田薬品工業,10,33995.82,JPY,2021-06-19 00:00:00
11,STK011,キーエンス,10,5901.27,JPY,2019-08-12 00:00:00
12,STK012,ファーストリテイリング,10,41072.3,JPY,2020-04-28 00:00:00
13,STK013,東京エレクトロン,10,8971.88,JPY,2023-05-31 00:00:00
14,STK014,信越化学工業,10,36519.28,JPY,2022-05-24 00:00:00
15,STK015,村田製作所,10,24599.34,JPY,2020-04-27 00:00:00
16,STK016,三井住友フィナンシャル,10,12651.34,JPY,2023-06-14 00:00:00
17,STK017,JR東日本,10,46990.74,JPY,2022-02-04 00:00:00
18,STK018,オリエンタルランド,10,6964.36,JPY,2020-01-21 00:00:00
19,STK019,リクルートホールディングス,10,17791.85,JPY,2020-01-26 00:00:00
20,STK020,KDDI,10,3308.13,JPY,2022-08-31 00:00:00
21,BND001,日本国債10年,20,103.6777,JPY,2019-10-25 00:00:00
22,BND002,日本国債20年,20,103.7174,JPY,2021-06-16 00:00:00
23,BND003,日本国債30年,20,103.6808,JPY,2021-03-03 00:00:00
24,BND004,米国債5年,20,103.37,JPY,2020-06-05 00:00:00
25,BND005,米国債10年,20,95.2241,JPY,2023-02-11 00:00:00
26,BND006,豪国債10年,20,98.6173,JPY,2021-09-19 00:00:00
27,BND007,三菱UFJ社債A,20,99.6148,JPY,2023-02-07 00:00:00
28,BND008,三井住友社債B,20,100.727,JPY,2020-07-20 00:00:00
29,BND009,東京電力社債,20,102.9002,JPY,2020-06-06 00:00:00
30,BND010,政府保証債J1,20,96.2223,JPY,2022-03-22 00:00:00
31,BND011,政府保証債J2,20,99.4313,JPY,2021-12-02 00:00:00
32,BND012,ソフトバンク社債,20,96.4896,JPY,2022-06-26 00:00:00
33,BND013,JR東日本社債,20,96.6728,JPY,2019-09-04 00:00:00
34,BND014,NTT社債,20,103.4536,JPY,2023-05-13 00:00:00
35,BND015,日本郵政社債,20,100.5531,JPY,2020-04-17 00:00:00
36,MFD001,グローバル株式ファンド,30,15231.1582,JPY,2020-05-13 00:00:00
37,MFD002,国内債券ファンド,30,20427.1418,JPY,2019-05-28 00:00:00
38,MFD003,アジアREITファンド,30,12014.7192,JPY,2019-12-05 00:00:00
39,MFD004,テクノロジー集中投信,30,16433.4066,JPY,2019-04-25 00:00:00
40,MFD005,ESGバランスファンド,30,23669.2266,JPY,2022-08-27 00:00:00
